Sample in Buffer,Sample in Window,TRIGGER,t1/char_op1[7:0],t1/char_op2[7:0],t1/print[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,00,00,a
1,1,0,00,00,a
2,2,0,00,00,a
3,3,0,00,00,a
4,4,0,00,00,a
5,5,0,00,00,a
6,6,0,00,00,a
7,7,0,00,00,a
8,8,0,00,00,a
9,9,0,00,00,a
10,10,0,00,00,a
11,11,0,00,00,a
12,12,0,00,00,a
13,13,0,00,00,a
14,14,0,00,00,a
15,15,0,00,00,a
16,16,0,00,00,a
17,17,0,00,00,a
18,18,0,00,00,a
19,19,0,00,00,a
20,20,0,00,00,a
21,21,0,00,00,a
22,22,0,00,00,a
23,23,0,00,00,a
24,24,0,00,00,a
25,25,0,00,00,a
26,26,0,00,00,a
27,27,0,00,00,a
28,28,0,00,00,a
29,29,0,00,00,a
30,30,0,00,00,a
31,31,0,00,00,a
32,32,0,00,00,a
33,33,0,00,00,a
34,34,0,00,00,a
35,35,0,00,00,a
36,36,0,00,00,a
37,37,0,00,00,a
38,38,0,00,00,a
39,39,0,00,00,a
40,40,0,00,00,a
41,41,0,00,00,a
42,42,0,00,00,a
43,43,0,00,00,a
44,44,0,00,00,a
45,45,0,00,00,a
46,46,0,00,00,a
47,47,0,00,00,a
48,48,0,00,00,a
49,49,0,00,00,a
50,50,0,00,00,a
51,51,0,00,00,a
52,52,0,00,00,a
53,53,0,00,00,a
54,54,0,00,00,a
55,55,0,00,00,a
56,56,0,00,00,a
57,57,0,00,00,a
58,58,0,00,00,a
59,59,0,00,00,a
60,60,0,00,00,a
61,61,0,00,00,a
62,62,0,00,00,a
63,63,0,00,00,a
64,64,0,00,00,a
65,65,0,00,00,a
66,66,0,00,00,a
67,67,0,00,00,a
68,68,0,00,00,a
69,69,0,00,00,a
70,70,0,00,00,a
71,71,0,00,00,a
72,72,0,00,00,a
73,73,0,00,00,a
74,74,0,00,00,a
75,75,0,00,00,a
76,76,0,00,00,a
77,77,0,00,00,a
78,78,0,00,00,a
79,79,0,00,00,a
80,80,0,00,00,a
81,81,0,00,00,a
82,82,0,00,00,a
83,83,0,00,00,a
84,84,0,00,00,a
85,85,0,00,00,a
86,86,0,00,00,a
87,87,0,00,00,a
88,88,0,00,00,a
89,89,0,00,00,a
90,90,0,00,00,a
91,91,0,00,00,a
92,92,0,00,00,a
93,93,0,00,00,a
94,94,0,00,00,a
95,95,0,00,00,a
96,96,0,00,00,a
97,97,0,00,00,a
98,98,0,00,00,a
99,99,0,00,00,a
100,100,0,00,00,a
101,101,0,00,00,a
102,102,0,00,00,a
103,103,0,00,00,a
104,104,0,00,00,a
105,105,0,00,00,a
106,106,0,00,00,a
107,107,0,00,00,a
108,108,0,00,00,a
109,109,0,00,00,a
110,110,0,00,00,a
111,111,0,00,00,a
112,112,0,00,00,a
113,113,0,00,00,a
114,114,0,00,00,a
